id,titulo
2636,GTC - Sistema de Controle de Acessos em vários Sistemas
2637,Site Turismo Drupal
2638,ANONIMIZAÇÃO
2639,Espaço da Gestante - Site Drupal
2640,Saúde de A - Z - Site Drupal
2641,Xô Zica - Site Drupal
2642,febre Amarela - Site Drupal
2643,Hemorio - Site Drupal
2644,Dívida Ativa - PROCON
2645,Desenvolvimento de Aplicativos MOBILE
2646,Verificação/Modificação na implementação do Rybena nos sites
2647,Atividade solicitada pela Secretaria de Transformação Digital
2648,Doe + Vida Site Drupal
2649,Desenvolvimento de Aplicativo para a Secretaria de Segurança Pública - MOBILE
2650,Desenvolvimento do aplicativo para cadastrar e receber inscrições em eventos - MOBILE
2651,Inscrição Prática Dirigida
2652,Modificações em Sites Drupal
2653,Verificação/Modificação na implementação da política de cookies nos sites
2654,AGENDAMENTOS - Site Drupal
2655,Site de Agendamentos - Drupal
2656,"Sedipaf (Desenvolvimento Regional do Interior, Pesca e Agricultura Familiar)"
2657,RAS CBMERJ
2658,Site CEDIM - Drupal
2659,Corregedoria - Site Drupal
2660,Poupança Escola
2661,Projeto RECOMEÇAR
2662,Academia PRODERJ - Moodle
2663,Manutenção em Sistemas Legados
2664,Site CEAS
2665,Sistema do Arquivo Público do Estado do Rio de Janeiro (APERJ)
2666,Tarefas que precisam de acompanhamento - GERFS
2667,Site Drupal Atendimentosaude
2668,Projeto Empregos Azuis - Site Drupal
2669,Painel Comercial
2670,NovoProeis
2671,Secretaria de Cultura e Economia Criativa - Site Drupal
2672,Agendamento PEDTIC
2673,cerimonialweb
2674,eventoestadodigital
2675,formqualidadedigital
2676,formseenemar
2677,SISGAM - Sistema para Gerenciamento de Museus
2678,eventolgpd
2679,agetransp - plenario
2680,Projeto de Market Place - portalmarketplace
2681,Integra Saúde
2682,LGPD na Saúde
2683,SEEDUC - Drupal
2684,SISREVRJ
2685,Plenário Virtual
2686,Cerimonial Web
2687,Recomeçar
2688,SISGAM
2689,PIT Turismo
2909,CPE (GSS) (DSS)
2910,Migração CPE-SisBens (GSS) (DSS)
2914,"GERENCIAR, CUSTOMIZAR E ENVIAR OS EVENTOS DO E-SOCIAL ETAGIARIOS (GERRH, GFS, GAR e Casa Civil)"
2923,DESENVOLVIMENTO SITE DE INSCRIÇÃO DE VISITA MUSEU BOMBEIROS
2924,GERENCIAMENTO CUSTOMIZAÇÃO SISTEMA ESPERANÇA
2925,GERENCIAR DESENVOLVIMENTO DE SOLUÇÃO CERIMONIAL - APP E WEB
2944,SIGA – Fase 2
2945,SISGAM
2946,Vale Social – Sistema SETRAM
2947,SUPERA 2.0
2948,AGENERSA - OuvidoriaAgenersa
2949,AGENERSA - Regulacom
2950,SIGRH - Municípios
2951,SISPRO - PRODERJ
2952,Nova SEDE PRODERJ e SETD
2953,Modernizacao do Sistema de Identificação de Tipologia Documental (SITD)
2954,Sistema TIPOLOGIA - Registro INPI
2956,SIGETRANSP
2957,APP Missões - Relações Internacionais
387,PROJETO DATA LAKE
2085,Integração de autenticações
2158,Expansão da infraestrutura de TIC do programa RJ Digital Municípios
2170,Unificação dos portais no domínio do rj.gov
2270,Evidenciar indicador 1.10. - Unidade Cyber
2271,Evidenciar indicador 1.11. - CERT
2284,Evidenciar indicador 2.12. - Plataforma de saúde
2699,REDE CONECTA RJ (Processo Licitatório)
2700,HIPERCONVERGÊNCIA NUTANIX (Processo Licitatório)
2701,AQUISIÇÃO DE COMPUTADORES (Processo Licitatório)
2702,OUTSOURCING DE MICROCOMPUTADOR (Processo Licitatório) (Locação)
2706,STORAGE BACKUP (HUAWEI) (Processo Licitatório)
2707,INVENTÁRIO DE ATIVOS (Processo Licitatório)
2708,MICROSOFT (Processo Licitatório)
2709,OUTSOURCING DE IMPRESSÃO (Processo Licitatório)
2711,3CORP TECHNOLOGY (Contrato)
2712,3STRUCTURE IT LTDA (Contrato)
2713,3STRUCTURE IT LTDA (Contrato)
2714,3STRUCTURE IT LTDA(Contrato)
2715,CLARO S/A (Contrato)
2716,CLARO S/A (Contrato)
2717,CLARO S/A (Contrato)
2718,DADY ILHA SOLUÇÕES INTEGRADAS LTDA (Contrato)
2719,EXTREME DIGITAL CONSULTORIA E REPRESENTAÇÕES LTDA. (Contrato)
2720,GREEN4T SOLUÇÕES TI LTDA (Contrato)
2721,INTELIGÊNCIA ARTIFICIAL TECNOLOGIA E REFRIGERAÇÃO LTDA (Contrato)
2722,KTREE PENSO TECNOLOGIA DA INFORMAÇÃO LTDA (Contrato)
2723,ORACLE DO BRASIL SISTEMAS LTDA (Contrato)
2724,RIKE IS INTELIGÊNCIA DE SOFTWARE LTDA (Contrato)
2725,RIKE IS INTELIGÊNCIA DE SOFTWARE LTDA (Contrato)
2726,VERT ANALYTICS LTDA (Contrato)
2727,VERT ANALYTICS LTDA (Contrato)
2728,WP SISTEMAS REPROGRAFICOS E IMPRESSAO LTDA. (Contrato)
2705,WAAP (Processo Licitatório)
2749,ARS TECNOLOGIA SERVIÇOS E CONSULTORIA LTDA (Contrato)
2750,BLUE EYE SOLUÇÕES EM TECNOLOGIA LTDA (Contrato)
2751,CLAVIS BBR CONSULTORIA EM INFORMÁTICA S.A. (Contrato)
2752,EVERY TI TECNOLOGIA & INOVAÇÃO LTDA (Contrato)
2753,NTSEC SOLUÇÕES EM TELEINFORMÁTICA LTDA (Contrato)
2703,GITLAB - Plataforma de desenvolvimento do ciclo de vida de software (Processo Licitatório)
2704,SIGRH (Processo Licitatório)
2710,BIM (Processo Licitatório)
2754,DELTAPOINT CONSULTORIA E TREINAMENTOS LTDA (Contrato)
2755,EXTREME DIGITAL CONSULTORIA E REPRESENTAÇÕES LTDA. (Contrato)
2756,EXTREME DIGITAL CONSULTORIA E REPRESENTAÇÕES LTDA. (Contrato)
2757,EXTREME DIGITAL CONSULTORIA E REPRESENTAÇÕES LTDA. (Contrato)
2758,LGPDNOW TRATAMENTO E HOSPEDAGEM DE DADOS LTDA (Contrato)
2759,LINK DATA INFORMÁTICA E SERVIÇOS S/A. (Contrato)
2760,TECHNE ENGENHARIA E SISTEMAS LTDA. (Contrato)
2761,XERTICA BRASIL LTDA (Contrato)
2799,Portal CENTRAL (DSS)
2800,Site CEAS (DSS)
2801,BI – Dashboard do Sistema de Ouvidoria (DSS)
2802,Plenária Virtual (DSS)
2803,Sistema Cartão Recomeçar (DSS)
2804,Sistema FIA - PAR (DSS)
2805,Sistema de Ouvidoria (DSS)
2806,App Ouvidoria (DSS)
2807,App de Eventos / App Cerimonial (DSS)
2808,App de Eventos / (DSS) App Cerimonial
2809,Portal CEDCA (DSS)
2810,Portal FIPERJ (DSS)
2811,Portal ITERJ (DSS)
2812,Portal Observatório (DSS)
2813,Portal SEAS (DSS)
2814,Portal SECTI (DSS)
2815,SISCORI (DSS)
2816,SISOSC(DSS)
2817,Sistema Biométrico Cadeiras Cativas (DSS)
2818,Sistema FECAM (DSS)
2819,Sistema FIA - NACA (DSS)
2820,Sistema de Cadastro de Artistas (DSS)
2821,Sistema de RH (DSS)
2822,Sistema de Tipologia (DSS)
2823,Sistema Depósito Público - DPE (Atual) (DSS)
2824,Carteira Funcional MP-RJ (DSS)
2825,SISPRO (DSS)
2826,Sistema RegulaCom (DSS)
2827,Sistema WebService da PGE – Dívida Ativa (DSS)
2828,SEPEI-RJ - Projeto Lei de Incentivo Fiscal (DSS)
2829,SISCORI (DSS)
2830,SISGAM (DSS)
2831,SISPATRI (DSS)
2832,Sistema FIA - PTPA (DSS)
2833,Portal Depósito Público (DSS)
2834,Portal da Cultura (DSS)
2835,Sistema Depósito Público - DPE (Novo) (DSS)
2836,Sistema FIA - SOS (DSS)
2837,Site CRASE (DSS)
2838,Site Corregedoria SECC (DSS)
2846,Site Empregos Azuis (DSS)
2843,Rehosting (GSS) (DSS)
2844,Dashboard de Monitoramento (GSS) (DSS) do Ambiente Rehosting
2845,Serviços de integração com o Proderj (GSS) (DSS)
2900,Painel de Manifestações (DSS)
2901,Emendas Parlamentares (DSS)
2902,Painel de Controle Recebimento BUI (DSS)
2903,Painel Ouve.RJ - Satisfação (DSS)
2904,Gestão Mandala de Contratos (DSS)
2905,Painel RH Geral - PRODERJ (DSS)
2906,Painel Ouvidoria - PRODERJ (DSS)
2907,Painel Licitações - PRODERJ (DSS)
2908,Painel ACI - PRODERJ (DSS)
2769,Carteira Funcional - TCE(DSS)
2770,Fundação Leão XIII Drupal (DSS)
2771,Patrimônio Drupal (DSS)
2772,Sistema de Gestão de Projetos e Tarefas (SGP) (DSS)
2773,10 Minutos Salvam Vidas Drupal (DSS)
2774,SGER - Módulo Esocial (DSS)
2775,SGEST (DSS)
2776,FAETEC Drupal (DSS)
2777,IPEM Drupal (DSS)
2778,Rio Sem Fumo Drupal (DSS)
2779,Rio com Saúde Drupal (DSS)
2780,Site PET (Programa Estadual de Transplante) Drupal (DSS)
2781,Espaço da Gestante Drupal (DSS)
2782,Extranet da Saúde Drupal (DSS)
2783,Saúde de A a Z Drupal (DSS)
2784,Xô Zica Drupal (DSS)
2785,CEDIM Drupal (DSS)
2786,Doe + Vida Drupal (DSS)
2787,Febre Amarela Drupal (DSS)
2788,Hemorio Drupal (DSS)
2789,Atendimento Saúde Drupal (DSS)
2790,Transparência Drupal (DSS)
2791,COMUNICA 2.0 - Atualização e integração JITSI MEET (DSS)
2792,RHBK x GTC - Substituição do GTC (DSS)
2793,Carteira Funcional (DSS)
2794,NovoProeis (DSS)
2795,Violência Contra a Mulher (DSS)
2796,Gestão de Frotas (DSS)
2797,Gestão de circuitos SGC (DSS)
2798,SISREV - Sistema de Logística Reversa (DSS)
2871,Sistema de Roubos e Furtos (GSS) (DSS)
2872,Sistema de Roubos e Furtos (GSS) (DSS)
2873,sistema de recursos humanos suporte e manutenção (GSS) (DSS)
2874,sistema de pagamentos avulsos e dirf (GSS) (DSS)
2875,Sistema de Funções gratificadas (GSS) (DSS)
2876,MANUTENÇÃO E SUPORTE CPE; IASERJ (GSS) (DSS)
2877,Sustentação Esocial (GSS) (DSS)
2878,Sustentação Vale Social WEB (GSS) (DSS)
2879,SAPE WEB (GSS) (DSS)
2880,PORTAL CORPORATIVO WEB (GSS) (DSS)
2881,DIGITALIZ@RJ WEB (GSS) (DSS)
2882,Estatística mensal do sistema (GSS) (DSS)
2883,ENVIO DE ARQUIVOS POR E-MAIL (GSS) (DSS)
2884,Controle de Processos SEI (GSS) (DSS)
2885,ENVIO DE ARQUIVO folha de pagamento via e-mail (GSS) (DSS)
2886,SAPE WEB (GSS) (DSS)
2887,manutenção e atualização do Sistema de Identificação de Tipologia Documental (SITD) (GSS) (DSS)
2888,registro do sistema como “programa de computador” do Sistema de Tipologia Documental – SITD - no Instituto Nacional de Propriedade Industrial (INPI) (GSS) (DSS)
2889,ECM (GSS) (DSS)
2890,PORTAL CORPORATIVO WEB (GSS) (DSS)
2891,ECM (GSS) (DSS)
2892,PORTAL CORPORATIVO WEB (GSS) (DSS)
2893,Sistema de Controle de Processos e Documentos (GSS) (DSS)
2894,SAPE WEB(GSS) (DSS)
2895,MUNICÍPIOS EFICIENTES (GSS) (DSS)
2896,INFRA-BD-ESOCIAL CAMARA (GSS) (DSS)
2897,ALUGUEL SOCIAL (GSS) (DSS)
2898,SUSTENTAÇÃO DE SERVIDORES (GSS) (DSS)
2899,MANUTENÇÃO E SUPORTE EVOLUTIVO WEB – FLXIII / CEDCA / APERJ (GSS) (DSS)
2847,Sistema Aluguel Social (GSS) (DSS)
2848,Site do DER (GSS) (DSS)
2849,Site Leão XIII (GSS) (DSS)
2850,Site do CEDCA (GSS) (DSS)
2851,Sistema Aluguel Social (GSS) (DSS)
2852,Site do DER (GSS) (DSS)
